out	Kingdom	Phylum	Class	Order	Family	Genus	Species
02827bf546f52b3c55ac494d5d9da643	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Enterobacterales			
3dbb2debe875372a650e1dcb061603fb	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Micropepsales	 f__Micropepsaceae	 g__uncultured	
8a36ef6032c6ea5a431e7f445dbdceb8	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Sphingobacteriales	 f__Sphingobacteriaceae	 g__Mucilaginibacter	
d0e33e1be994433a7f617ec293ea2daa	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Caulobacterales	 f__Caulobacteraceae		
77c513e942b1f705428daf4c3add0537	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria				
162c88291c51aa1a440bbeaff16f0676	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Reyranellales	 f__Reyranellaceae	 g__Reyranella	
94844e06ff9868bad466a32a3da82fb1	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Sphingobacteriales	 f__Sphingobacteriaceae		
8f540fabad68720e1836f98b0037ee60	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Flavobacteriaceae	 g__Flavobacterium	
bb4f8e7a8c02abb3258abcefb81f15bf	d__Bacteria	 p__Actinobacteriota	 c__Thermoleophilia	 o__Solirubrobacterales	 f__Solirubrobacteraceae	 g__Conexibacter	
4105a7c1eab7e98c53acc716c2667f60	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Sphingomonadales	 f__Sphingomonadaceae		
692c3e2cc0f10f68e5dc603ef6f1eccc	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Caulobacterales	 f__Caulobacteraceae	 g__Asticcacaulis	
dddfbe358355b10d8b6049841fdbc382	d__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Alicyclobacillales	 f__Alicyclobacillaceae		
8b6e479494e3ac6a3883d116efdf8ac3	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Oxalobacteraceae	 g__Massilia	
554e1064817ed9be9569e441d18dfb1a	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Oxalobacteraceae	 g__Oxalicibacterium	
395138f434fd3e90bbe392727b2a1ad2	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales			
7238d53d0a9b5a264b55bd9a925f7b32	d__Bacteria	 p__Actinobacteriota	 c__Acidimicrobiia				
