sample_ID	soil_sample	timepoint	inoculation	treatment	biorep	original_specifictreatment	original_id	to_be_analyzed	to_be_analyzed_carrot	to_be_analyzed_noCarrot	treat_three	treat_three_sorted
SSNTP2INYTRRBR2	no	two	CL09	Ridomil	2	Timepoint2Riddomil_and_CL09_no_carrot	ITS.G6	yes	no	yes	Ridomil_CL09	Ridomil_CL09
SSNTP2INYTRRBR3	no	two	CL09	Ridomil	3	Timepoint2Riddomil_and_CL09_no_carrot	ITS.G7	yes	no	yes	Ridomil_CL09	Ridomil_CL09
SSCTP2INNTRBBR1	carrot	two	None	Biofungicide	1	Timepoint2Biofungicide_and_carrot	ITS.G9	no	no	no	Biofungicide_NO_CL09	Biofungicide_NO_CL09
SSCTP2INNTRBBR2	carrot	two	None	Biofungicide	2	Timepoint2Biofungicide_and_carrot	ITS.G10	yes	yes	no	Biofungicide_NO_CL09	Biofungicide_NO_CL09
SSCTP2INNTRBBR3	carrot	two	None	Biofungicide	3	Timepoint2Biofungicide_and_carrot	ITS.G11	yes	yes	no	Biofungicide_NO_CL09	Biofungicide_NO_CL09
SSCTP2INNTRBBR4	carrot	two	None	Biofungicide	4	Timepoint2Biofungicide_and_carrot	ITS.G12	yes	yes	no	Biofungicide_NO_CL09	Biofungicide_NO_CL09
SSNTP2INNTRBBR1	no	two	None	Biofungicide	1	Timepoint2Biofungicide_no_carrot	ITS.H1	no	no	no	Biofungicide_NO_CL09	Biofungicide_NO_CL09
SSNTP2INNTRBBR2	no	two	None	Biofungicide	2	Timepoint2Biofungicide_no_carrot	ITS.H2	yes	no	yes	Biofungicide_NO_CL09	Biofungicide_NO_CL09
SSNTP2INNTRBBR3	no	two	None	Biofungicide	3	Timepoint2Biofungicide_no_carrot	ITS.H3	yes	no	yes	Biofungicide_NO_CL09	Biofungicide_NO_CL09
SSNTP2INNTRBBR4	no	two	None	Biofungicide	4	Timepoint2Biofungicide_no_carrot	ITS.H4	yes	no	yes	Biofungicide_NO_CL09	Biofungicide_NO_CL09
SSCTP2INYTRBBR1	carrot	two	CL09	Biofungicide	1	Timepoint2Biofungicide_CL09_and_carrot	ITS.H5	yes	yes	no	Biofungicide_CL09	Biofungicide_CL09
SSCTP2INYTRBBR2	carrot	two	CL09	Biofungicide	2	Timepoint2Biofungicide_CL09_and_carrot	ITS.H6	yes	yes	no	Biofungicide_CL09	Biofungicide_CL09
SSCTP2INYTRBBR3	carrot	two	CL09	Biofungicide	3	Timepoint2Biofungicide_CL09_and_carrot	ITS.H7	yes	yes	no	Biofungicide_CL09	Biofungicide_CL09
SSNTP2INYTRBBR1	no	two	CL09	Biofungicide	1	Timepoint2Biofungicide_CL09_no_carrot	ITS.H9	yes	no	yes	Biofungicide_CL09	Biofungicide_CL09
SSNTP2INYTRBBR2	no	two	CL09	Biofungicide	2	Timepoint2Biofungicide_CL09_no_carrot	Bact.neg.control	yes	no	yes	Biofungicide_CL09	Biofungicide_CL09
SSNTP2INYTRBBR3	no	two	CL09	Biofungicide	3	Timepoint2Biofungicide_CL09_no_carrot	Bact.neg.control	no	no	no	Biofungicide_CL09	Biofungicide_CL09
SSNTP2INYTRBBR4	no	two	CL09	Biofungicide	4	Timepoint2Biofungicide_CL09_no_carrot	ITS.H12	yes	no	yes	Biofungicide_CL09	Biofungicide_CL09
